%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                      27                      -16.915227
                  27.003                      -16.914886
                  27.006                      -16.914806
                  27.009                      -16.914988
                  27.012                      -16.915431
                  27.015                      -16.916135
                  27.018                        -16.9171
                  27.021                      -16.918326
                  27.024                      -16.919813
                  27.027                      -16.921561
                   27.03                       -16.92357
                  27.033                      -16.925838
                  27.036                      -16.928367
                  27.039                      -16.931155
                  27.042                      -16.934203
                  27.045                      -16.937509
                  27.048                      -16.941074
                  27.051                      -16.944897
                  27.054                      -16.948978
                  27.057                      -16.953316
                   27.06                       -16.95791
                  27.063                       -16.96276
                  27.066                      -16.967866
                  27.069                      -16.973226
                  27.072                      -16.978841
                  27.075                      -16.984708
                  27.078                      -16.990829
                  27.081                      -16.997201
                  27.084                      -17.003825
                  27.087                      -17.010699
                   27.09                      -17.017823
                  27.093                      -17.025195
                  27.096                      -17.032815
                  27.099                      -17.040682
                  27.102                      -17.048796
                  27.105                      -17.057154
                  27.108                      -17.065757
                  27.111                      -17.074603
                  27.114                      -17.083691
                  27.117                      -17.093021
                   27.12                      -17.102591
                  27.123                        -17.1124
                  27.126                      -17.122447
                  27.129                      -17.132732
                  27.132                      -17.143252
                  27.135                      -17.154007
                  27.138                      -17.164997
                  27.141                      -17.176218
                  27.144                      -17.187672
                  27.147                      -17.199356
                   27.15                      -17.211269
                  27.153                       -17.22341
                  27.156                      -17.235779
                  27.159                      -17.248373
                  27.162                      -17.261191
                  27.165                      -17.274233
                  27.168                      -17.287497
                  27.171                      -17.300982
                  27.174                      -17.314687
                  27.177                       -17.32861
                   27.18                      -17.342751
                  27.183                      -17.357107
                  27.186                      -17.371679
                  27.189                      -17.386464
                  27.192                      -17.401461
                  27.195                       -17.41667
                  27.198                      -17.432088
                  27.201                      -17.447715
                  27.204                       -17.46355
                  27.207                       -17.47959
                   27.21                      -17.495836
                  27.213                      -17.512285
                  27.216                      -17.528937
                  27.219                      -17.545791
                  27.222                      -17.562844
                  27.225                      -17.580096
                  27.228                      -17.597546
                  27.231                      -17.615192
                  27.234                      -17.633034
                  27.237                      -17.651069
                   27.24                      -17.669298
                  27.243                      -17.687718
                  27.246                      -17.706329
                  27.249                      -17.725129
                  27.252                      -17.744117
                  27.255                      -17.763292
                  27.258                      -17.782654
                  27.261                        -17.8022
                  27.264                       -17.82193
                  27.267                      -17.841843
                   27.27                      -17.861937
                  27.273                      -17.882211
                  27.276                      -17.902665
                  27.279                      -17.923297
                  27.282                      -17.944106
                  27.285                      -17.965092
                  27.288                      -17.986253
                  27.291                      -18.007587
