%###############################################################
%               Frequency                        |S11|
%                                            insertion loss
%                 (GHz)                           (dB)
%###############################################################
                      27                      -1.8977826
                  27.003                      -1.8977591
                  27.006                      -1.8977348
                  27.009                      -1.8977095
                  27.012                       -1.897683
                  27.015                      -1.8976554
                  27.018                      -1.8976263
                  27.021                      -1.8975958
                  27.024                      -1.8975638
                  27.027                        -1.89753
                   27.03                      -1.8974945
                  27.033                      -1.8974571
                  27.036                      -1.8974177
                  27.039                      -1.8973762
                  27.042                      -1.8973325
                  27.045                      -1.8972866
                  27.048                      -1.8972383
                  27.051                      -1.8971876
                  27.054                      -1.8971343
                  27.057                      -1.8970785
                   27.06                        -1.89702
                  27.063                      -1.8969587
                  27.066                      -1.8968946
                  27.069                      -1.8968276
                  27.072                      -1.8967577
                  27.075                      -1.8966847
                  27.078                      -1.8966087
                  27.081                      -1.8965295
                  27.084                      -1.8964471
                  27.087                      -1.8963615
                   27.09                      -1.8962725
                  27.093                      -1.8961802
                  27.096                      -1.8960845
                  27.099                      -1.8959854
                  27.102                      -1.8958827
                  27.105                      -1.8957766
                  27.108                      -1.8956668
                  27.111                      -1.8955535
                  27.114                      -1.8954365
                  27.117                      -1.8953158
                   27.12                      -1.8951915
                  27.123                      -1.8950634
                  27.126                      -1.8949316
                  27.129                       -1.894796
                  27.132                      -1.8946565
                  27.135                      -1.8945133
                  27.138                      -1.8943662
                  27.141                      -1.8942153
                  27.144                      -1.8940605
                  27.147                      -1.8939018
                   27.15                      -1.8937393
                  27.153                      -1.8935728
                  27.156                      -1.8934025
                  27.159                      -1.8932282
                  27.162                        -1.89305
                  27.165                      -1.8928679
                  27.168                      -1.8926819
                  27.171                      -1.8924919
                  27.174                      -1.8922981
                  27.177                      -1.8921003
                   27.18                      -1.8918987
                  27.183                      -1.8916932
                  27.186                      -1.8914837
                  27.189                      -1.8912704
                  27.192                      -1.8910533
                  27.195                      -1.8908323
                  27.198                      -1.8906075
                  27.201                      -1.8903788
                  27.204                      -1.8901464
                  27.207                      -1.8899101
                   27.21                      -1.8896702
                  27.213                      -1.8894265
                  27.216                       -1.889179
                  27.219                      -1.8889279
                  27.222                      -1.8886731
                  27.225                      -1.8884147
                  27.228                      -1.8881526
                  27.231                       -1.887887
                  27.234                      -1.8876178
                  27.237                      -1.8873451
                   27.24                      -1.8870689
                  27.243                      -1.8867893
                  27.246                      -1.8865062
                  27.249                      -1.8862197
                  27.252                      -1.8859298
                  27.255                      -1.8856367
                  27.258                      -1.8853402
                  27.261                      -1.8850405
                  27.264                      -1.8847376
                  27.267                      -1.8844315
                   27.27                      -1.8841223
                  27.273                        -1.88381
                  27.276                      -1.8834946
                  27.279                      -1.8831762
                  27.282                      -1.8828549
                  27.285                      -1.8825306
                  27.288                      -1.8822035
                  27.291                      -1.8818735
                  27.294                      -1.8815407
                  27.297                      -1.8812052
                    27.3                       -1.880867
                  27.303                      -1.8805261
                  27.306                      -1.8801826
                  27.309                      -1.8798366
                  27.312                       -1.879488
                  27.315                       -1.879137
                  27.318                      -1.8787836
                  27.321                      -1.8784278
                  27.324                      -1.8780697
                  27.327                      -1.8777093
                   27.33                      -1.8773467
                  27.333                       -1.876982
                  27.336                      -1.8766151
                  27.339                      -1.8762461
                  27.342                      -1.8758752
                  27.345                      -1.8755023
                  27.348                      -1.8751274
                  27.351                      -1.8747507
                  27.354                      -1.8743722
                  27.357                       -1.873992
                   27.36                        -1.87361
                  27.363                      -1.8732264
                  27.366                      -1.8728411
                  27.369                      -1.8724543
                  27.372                       -1.872066
                  27.375                      -1.8716763
                  27.378                      -1.8712852
                  27.381                      -1.8708927
                  27.384                      -1.8704989
                  27.387                      -1.8701039
                   27.39                      -1.8697077
                  27.393                      -1.8693104
                  27.396                       -1.868912
                  27.399                      -1.8685126
                  27.402                      -1.8681121
                  27.405                      -1.8677108
                  27.408                      -1.8673085
                  27.411                      -1.8669055
                  27.414                      -1.8665016
                  27.417                      -1.8660971
                   27.42                      -1.8656918
                  27.423                      -1.8652859
                  27.426                      -1.8648795
                  27.429                      -1.8644725
                  27.432                      -1.8640651
                  27.435                      -1.8636572
                  27.438                      -1.8632489
                  27.441                      -1.8628404
                  27.444                      -1.8624315
                  27.447                      -1.8620224
                   27.45                      -1.8616131
                  27.453                      -1.8612037
                  27.456                      -1.8607942
                  27.459                      -1.8603846
                  27.462                      -1.8599751
                  27.465                      -1.8595656
                  27.468                      -1.8591562
                  27.471                      -1.8587469
                  27.474                      -1.8583378
                  27.477                       -1.857929
                   27.48                      -1.8575204
                  27.483                      -1.8571121
                  27.486                      -1.8567042
                  27.489                      -1.8562967
                  27.492                      -1.8558897
                  27.495                      -1.8554831
                  27.498                      -1.8550771
                  27.501                      -1.8546716
