%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                      27                      -20.307852
                  27.003                      -20.311226
                  27.006                      -20.314591
                  27.009                      -20.317945
                  27.012                      -20.321288
                  27.015                       -20.32462
                  27.018                      -20.327942
                  27.021                      -20.331252
                  27.024                      -20.334551
                  27.027                      -20.337838
                   27.03                      -20.341113
                  27.033                      -20.344377
                  27.036                      -20.347629
                  27.039                      -20.350868
                  27.042                      -20.354095
                  27.045                       -20.35731
                  27.048                      -20.360512
                  27.051                      -20.363701
                  27.054                      -20.366877
                  27.057                       -20.37004
                   27.06                       -20.37319
                  27.063                      -20.376326
                  27.066                      -20.379449
                  27.069                      -20.382558
                  27.072                      -20.385654
                  27.075                      -20.388736
                  27.078                      -20.391804
                  27.081                      -20.394858
                  27.084                      -20.397897
                  27.087                      -20.400923
                   27.09                      -20.403934
                  27.093                      -20.406931
                  27.096                      -20.409913
                  27.099                       -20.41288
                  27.102                      -20.415833
                  27.105                      -20.418771
                  27.108                      -20.421695
                  27.111                      -20.424603
                  27.114                      -20.427496
                  27.117                      -20.430374
                   27.12                      -20.433238
                  27.123                      -20.436086
                  27.126                      -20.438918
                  27.129                      -20.441736
                  27.132                      -20.444538
                  27.135                      -20.447325
                  27.138                      -20.450096
                  27.141                      -20.452852
                  27.144                      -20.455593
                  27.147                      -20.458318
                   27.15                      -20.461027
                  27.153                      -20.463721
                  27.156                      -20.466399
                  27.159                      -20.469061
                  27.162                      -20.471708
                  27.165                      -20.474339
                  27.168                      -20.476955
                  27.171                      -20.479555
                  27.174                      -20.482139
                  27.177                      -20.484707
                   27.18                       -20.48726
                  27.183                      -20.489797
                  27.186                      -20.492318
                  27.189                      -20.494824
                  27.192                      -20.497313
                  27.195                      -20.499788
                  27.198                      -20.502246
                  27.201                      -20.504689
                  27.204                      -20.507116
                  27.207                      -20.509528
                   27.21                      -20.511923
                  27.213                      -20.514304
                  27.216                      -20.516668
                  27.219                      -20.519018
                  27.222                      -20.521351
                  27.225                       -20.52367
                  27.228                      -20.525972
                  27.231                       -20.52826
                  27.234                      -20.530532
                  27.237                      -20.532788
                   27.24                       -20.53503
                  27.243                      -20.537256
                  27.246                      -20.539467
                  27.249                      -20.541662
                  27.252                      -20.543843
                  27.255                      -20.546009
                  27.258                      -20.548159
                  27.261                      -20.550295
                  27.264                      -20.552415
                  27.267                      -20.554521
                   27.27                      -20.556612
                  27.273                      -20.558688
                  27.276                       -20.56075
                  27.279                      -20.562797
                  27.282                       -20.56483
