%###############################################################
%               Frequency                        |S41|
%                                              isolation
%                 (GHz)                           (dB)
%###############################################################
                      27                      -34.271251
                  27.003                      -34.298129
                  27.006                      -34.324943
                  27.009                      -34.351694
                  27.012                      -34.378384
                  27.015                      -34.405014
                  27.018                      -34.431585
                  27.021                      -34.458098
                  27.024                      -34.484555
                  27.027                      -34.510958
                   27.03                      -34.537306
                  27.033                      -34.563603
                  27.036                      -34.589848
                  27.039                      -34.616042
                  27.042                      -34.642188
                  27.045                      -34.668287
                  27.048                      -34.694338
                  27.051                      -34.720344
                  27.054                      -34.746306
                  27.057                      -34.772224
                   27.06                        -34.7981
                  27.063                      -34.823934
                  27.066                      -34.849729
                  27.069                      -34.875483
                  27.072                      -34.901199
                  27.075                      -34.926878
                  27.078                       -34.95252
                  27.081                      -34.978126
                  27.084                      -35.003698
                  27.087                      -35.029235
                   27.09                      -35.054739
                  27.093                      -35.080211
                  27.096                      -35.105651
                  27.099                       -35.13106
                  27.102                      -35.156439
                  27.105                      -35.181789
                  27.108                       -35.20711
                  27.111                      -35.232402
                  27.114                      -35.257668
                  27.117                      -35.282906
                   27.12                      -35.308118
                  27.123                      -35.333305
                  27.126                      -35.358466
                  27.129                      -35.383603
                  27.132                      -35.408716
                  27.135                      -35.433805
                  27.138                      -35.458871
                  27.141                      -35.483915
                  27.144                      -35.508937
                  27.147                      -35.533937
                   27.15                      -35.558915
                  27.153                      -35.583873
                  27.156                       -35.60881
                  27.159                      -35.633727
                  27.162                      -35.658624
                  27.165                      -35.683502
                  27.168                       -35.70836
                  27.171                        -35.7332
                  27.174                      -35.758021
                  27.177                      -35.782823
                   27.18                      -35.807607
                  27.183                      -35.832373
                  27.186                      -35.857121
                  27.189                      -35.881852
                  27.192                      -35.906565
                  27.195                      -35.931261
                  27.198                      -35.955939
                  27.201                      -35.980601
                  27.204                      -36.005245
                  27.207                      -36.029873
                   27.21                      -36.054483
                  27.213                      -36.079077
                  27.216                      -36.103655
                  27.219                      -36.128215
                  27.222                      -36.152759
                  27.225                      -36.177286
                  27.228                      -36.201797
                  27.231                      -36.226291
                  27.234                      -36.250768
                  27.237                      -36.275229
                   27.24                      -36.299672
                  27.243                      -36.324099
                  27.246                      -36.348509
                  27.249                      -36.372902
                  27.252                      -36.397278
                  27.255                      -36.421636
                  27.258                      -36.445977
                  27.261                      -36.470301
                  27.264                      -36.494607
                  27.267                      -36.518896
                   27.27                      -36.543167
                  27.273                      -36.567419
                  27.276                      -36.591654
                  27.279                       -36.61587
                  27.282                      -36.640067
                  27.285                      -36.664246
                  27.288                      -36.688406
                  27.291                      -36.712547
                  27.294                      -36.736669
                  27.297                      -36.760771
                    27.3                      -36.784853
                  27.303                      -36.808915
                  27.306                      -36.832958
                  27.309                      -36.856979
                  27.312                      -36.880981
                  27.315                      -36.904961
                  27.318                       -36.92892
                  27.321                      -36.952858
                  27.324                      -36.976774
                  27.327                      -37.000668
                   27.33                      -37.024541
                  27.333                      -37.048391
                  27.336                      -37.072218
                  27.339                      -37.096022
                  27.342                      -37.119803
                  27.345                      -37.143561
                  27.348                      -37.167295
                  27.351                      -37.191005
                  27.354                      -37.214691
                  27.357                      -37.238352
                   27.36                      -37.261989
                  27.363                        -37.2856
                  27.366                      -37.309186
                  27.369                      -37.332747
                  27.372                      -37.356281
                  27.375                       -37.37979
                  27.378                      -37.403272
                  27.381                      -37.426727
                  27.384                      -37.450155
                  27.387                      -37.473556
                   27.39                      -37.496929
                  27.393                      -37.520275
                  27.396                      -37.543593
                  27.399                      -37.566882
                  27.402                      -37.590142
                  27.405                      -37.613374
                  27.408                      -37.636576
                  27.411                      -37.659749
                  27.414                      -37.682893
                  27.417                      -37.706006
                   27.42                      -37.729089
                  27.423                      -37.752142
                  27.426                      -37.775164
                  27.429                      -37.798155
                  27.432                      -37.821115
                  27.435                      -37.844043
                  27.438                      -37.866939
                  27.441                      -37.889804
                  27.444                      -37.912636
                  27.447                      -37.935436
                   27.45                      -37.958204
                  27.453                      -37.980938
                  27.456                      -38.003639
                  27.459                      -38.026307
                  27.462                      -38.048941
                  27.465                      -38.071542
                  27.468                      -38.094108
                  27.471                       -38.11664
                  27.474                      -38.139138
                  27.477                      -38.161601
                   27.48                      -38.184029
                  27.483                      -38.206422
                  27.486                       -38.22878
                  27.489                      -38.251102
                  27.492                      -38.273389
                  27.495                       -38.29564
                  27.498                      -38.317855
                  27.501                      -38.340034
                  27.504                      -38.362176
                  27.507                      -38.384281
                   27.51                       -38.40635
                  27.513                      -38.428382
                  27.516                      -38.450377
                  27.519                      -38.472335
                  27.522                      -38.494255
                  27.525                      -38.516138
                  27.528                      -38.537983
                  27.531                       -38.55979
                  27.534                      -38.581559
